Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148WS,D_SOD-323_HandSoldering,149.606,-100.584,180,top
D2,1N4148WS,D_SOD-323_HandSoldering,149.606,-98.044,180,top
D3,1N4148WS,D_SOD-323_HandSoldering,149.606,-95.504,180,top
J1,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",124.714,-98.298,-90,top
J2,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,161.798,-107.95,180,top
Q1,2N7002,SOT-23,159.009257,-79.759515,180,top
Q2,AO3400A,SOT-23,159.009257,-74.582843,0,top
Q3,AO3400A,SOT-23,123.19,-70.612,180,top
Q4,AO3400A,SOT-23,123.19,-86.68,180,top
R1,10k,R_0805_2012Metric,123.19,-82.55,0,top
R2,10k,R_0805_2012Metric,123.19,-78.74,180,top
R3,10k,R_0805_2012Metric,159.1075,-71.215222,0,top
R4,10k,R_0805_2012Metric,123.19,-74.93,180,top
R5,10k,R_0805_2012Metric,123.19,-90.17,180,top
U1,WeMos_D1_mini,WEMOS_D1_mini_light,129.5475,-66.04,0,top
